"","1","3_6_14_48","4_5_28_38_46","8_44","9_45_55_59_62","10_27","11","2_12_19","13_43","15_57","16_25_49","17","18","20","21_26_51_60","22_39_58","24","30","31","7_32","33","34","35","29_36_52_63","37","40","41","42","47","50","53","54","56","61","64","65","66","67","68_86","71","72_81","23_69_73","74","75","76","77","78","70_79_83","80","82","84","85","87","88","89","90","91"
"1",0,0,0,0.0188995783284274,0.0606641306662367,0,0,0,0,0,0.0827187176151175,0,0,0,0,0,0,-0.0152167426066897,0.011373437263594,0.0758855630639751,0,0,0,0.0667314628609331,0.0343748241768865,0,0.0744870077128949,0,0.166491494236551,0.017596306388137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354455916012055,0,0.0128362241064269,0,0,0,0,0,0,0,0,0,0
"3_6_14_48",0,0,0,0,0,0,0.0254432969428318,0,0,0,0,0,0.0247555897300748,0,0.00212883103936941,0.360727974141642,0.0761388924570039,0,0,0,0.016952560388735,0,0.250156068844053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152778902146596,0,0,0,0,0,0.0183482785698285,0,0,0,0,0,0,0,0.0634648560024978,0.00135426584436917,0,0,0,0
"4_5_28_38_46",0,0,0,0,0,0,0.0483853979803096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157498740679147,0,0,0,0.0343248479176688,0,0,0,-0.0189460116294985,0.0930908635719772,0,0,0.337061792885047,0.331630706483036,0,0,0,0.0358154535995344,-0.0206667439765767,0,-0.0113244343689353,0,0,0,0,0,0,0,-0.00920677160103099,0,0,0,0,0,0,0
"8_44",0.0188995783284274,0,0,0,0,0.130285913300616,0.0079237957563337,0,0,0,0,0.0149557920655554,0.0150987904398585,0.00285376493994838,0.224587262894828,0,0,0,0,0.0202711877980219,0.0163349610093257,0.0168873465110462,0.0317529679330299,0,0,0,0,0,0,0.0153952728077659,0,0.0178832869871976,0.0697565173407663,0,0,0.00725908279963774,0.048351673929235,0.0595701795332968,0,0,0,0,0,0.0469927305681825,0,0.1040943242415,0.0365907794608342,0.0267035748914052,0,0,0.0265358769414673,0.0465399756124224,0,0,0,0.0849691976683886,0
"9_45_55_59_62",0.0606641306662367,0,0,0,0,0.0394586890594148,0.023549483871688,0.29110286497152,0,0,0.0491718698398206,0,0,0,0,0,0.0500243367965344,0,0.263142251638,0.23845304974182,0,0,0,0,0,0,0.0314897339556809,0,0,0,0.0863419232489748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10_27",0,0,0,0.130285913300616,0.0394586890594148,0,0,0,0,0,0.0560253608331701,0,0.163019331849304,0,0,0,0.0912182679653865,0,0,0,0.0155145771856105,0,0,0,0.0279272495455845,0,0.217136831934567,0.0111132642589575,0,0.16967030893699,0,0,0.04052796452697,0,0,0,0.0141681210951536,0,0,0,0,0,0,0,0,0.0470175748919648,0,0,0,0,0.0712555623113046,0,0.0376145513996012,0,0,0,0.00197417266944565
"11",0,0.0254432969428318,0.0483853979803096,0.0079237957563337,0.023549483871688,0,0,0.00547459004644453,0,0,0.0548308297460544,0,0,0,0,0,0,0,0,0.111266579638036,0,0,0,0.0319594196845824,0.0432863154089001,0,0,0,0.030548420702921,0,0.143590949763994,0,0,0.0145671355086764,0.201827172497244,0,0.000399427163895537,0,0.132638584161887,0,0,0,0,0,0.00340148957448572,0,0.047763584442332,0,0,0,0,0,0,0,0,0,0
"2_12_19",0,0,0,0,0.29110286497152,0,0.00547459004644453,0,0,0,0.0306569626695791,0,0,0,0,0,0,0,0.0872865204591765,0.169717255016327,0,0,0,0,0.0614253980375275,0,0.0832511021682865,0,0.00641100487176888,0,0.0323363545457858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00722036283749039,0,0,0,0,0,0,0,0,0,0
"13_43",0,0,0,0,0,0,0,0,0,0.0086641782012207,0,0,0,0,0,-0.0225354712707844,0.0306978394401315,0,0,0,0,0.00428037326560397,0,0.276962610907452,0,0,0,0,0,0,0,0,0,0.0414046964030321,0,0,0.052740110227736,0,0,0,0,0,0.000661493832655267,0,0.0514983722441251,0,0,0,0,0,0,0,0,0.0485273440713301,0.129214392065395,0,0
"15_57",0,0,0,0,0,0,0,0,0.0086641782012207,0,0,0.000862714859444407,0,0,0,0,0,0.00403770216412814,0,0,0,0.388911855630914,0,0,0.0072930323379381,0,0,0,0.012523300494515,0,0,0.105721852280735,0,0,0,0,0,-0.0493844754476614,0,0,0,0.0989754213724652,0,0,0.0704000411468314,0,0,0,0,0,0,0,0,0,0,0,0
"16_25_49",0.0827187176151175,0,0,0,0.0491718698398206,0.0560253608331701,0.0548308297460544,0.0306569626695791,0,0,0,0,0,0,0,0,0,0,0,0.423465721159794,0.00256222542437559,0,0,0.0460046594871288,0,0,0,0,0.128725244650827,0,0.0236830107708387,0,0,0,0,0,0.018441887728888,0,0.0474932954970927,0,0,0,0,0.0101882233686052,0.0204430232381317,0,0.0180799999782802,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0.0149557920655554,0,0,0,0,0,0.000862714859444407,0,0,0.0632787554736873,0.0679640568029925,0,0,0,0.102406416858092,0.032921029118198,0,0,0.058592060271496,0,0,0,0,0,0,0,0.0399035545847241,0,0.104256101038566,0,0,0,0.177643175642072,0,0,0,0,0,0,0,0,0.0779095039114306,0.0225732416382667,0,0,0.0204344109390107,0,0,0,0,0,0.0252430925063718,0,0
"18",0,0.0247555897300748,0,0.0150987904398585,0,0.163019331849304,0,0,0,0,0,0.0632787554736873,0,0,0,0,0.0916952322225267,0.00975081121697197,0,0,0.00779573985667136,0,0.0244559334976074,0,0,0,0,0,0,0,0,0.0913925462714895,0.235374626715311,0,0,0.0815329954474484,0,0.0855520660188684,0,0,0,0,0,0,0,0,0,0,0,0,0.152234534082428,0,0,0,0.11056703058484,0.00681398535266024,0.0547276275755778
"20",0,0,0,0.00285376493994838,0,0,0,0,0,0,0,0.0679640568029925,0,0,0,0,0,0,0.0106553715382642,0,0,0,0.0364959123955804,0,0.157692640794792,0,0,0.165378435888385,0,0,0,0,0,0,0,0,0,0.00798822463247227,0,0,0,0,0,0,0.0805220357061974,0.00618336224066052,0,0,0,0,0.169515205378327,0,0,0,0,0,0
"21_26_51_60",0,0.00212883103936941,0,0.224587262894828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22439211280535,0.146875610213924,0,0,0,0.139939339576537,0,0,0,0,0,0.0755849337106189,0.0166073898313615,0,0,0,0,0,0,0,0,0,0.0199675827888235,0.0253128367553214,0,0.0956915358596684,0,0,0,0.0348304486613625,0.0981605997263307,0.0682454461789261,0,0,0,0,0.0154839711341478
"22_39_58",0,0.360727974141642,0,0,0,0,0,0,-0.0225354712707844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261931326313452,0,0,0,-0.0355777914602552,0,-0.0179190784070604,0,0,0,0,0,0,0,0.0302286342559072,0,-0.0569541129638945,0,0,0,0,0,-0.0369849740821125,0,0,0,0,0,0,0
"24",0,0.0761388924570039,0,0,0.0500243367965344,0.0912182679653865,0,0,0.0306978394401315,0,0,0,0.0916952322225267,0,0,0,0,0,0,0.0149214651028228,0,0.0339026623002742,0,0,0.0412395618315631,0,0.219208788391101,0.00691470008893612,0,0.0443846119642251,0.0642823688190589,0,0.0594257163517434,0,0,0,0.0108316856011481,0.0678337365307834,0.0187496716656003,0,0,0,0,0.0377567170170484,0.016445338152013,0,0.0183251296323096,0,0,0,0,0,0,0,0.00790917545339756,0.030559224198368,0.0132833649130898
"30",-0.0152167426066897,0,0,0,0,0,0,0,0,0.00403770216412814,0,0.102406416858092,0.00975081121697197,0,0,0,0,0,0.00607614675645287,0,0,0,0,0,0,0,0,0,0,0,0,0.110157751965334,0,0,0,0,0,0,0,0,0,0.15451080624082,0,0,0.0522420763927371,0,0,0,0,0,0,0,0.140415862302112,0,0.126215571018149,0,0.11327955966571
"31",0.011373437263594,0,0,0,0.263142251638,0,0,0.0872865204591765,0,0,0,0.032921029118198,0,0.0106553715382642,0,0,0,0.00607614675645287,0,0,0,0,0,0,0.0365486919077109,0,0,0.0322433053130136,0.0341139893841881,0.0212322144655035,0,0,0,0,0,0,0,0,0,0.0751173522074478,0,0.0737178688092125,0,0,0,0,0,0,0,0,0,0,0.0040723440887723,0,0,0.114936682498211,0
"7_32",0.0758855630639751,0,0,0.0202711877980219,0.23845304974182,0,0.111266579638036,0.169717255016327,0,0,0.423465721159794,0,0,0,0,0,0.0149214651028228,0,0,0,0,0,0,0,0.00570148081067441,0,0.00623039863705907,0,0.0348123751309173,0,0.0220640867172997,0,0,0,0,0,0,0,0.0622155959172253,0,0,0,0,0.0243067727093053,0,0,0.0386710080186948,0,0,0,0,0.0202185404547975,0,0,0,0,0
"33",0,0.016952560388735,0,0.0163349610093257,0,0.0155145771856105,0,0,0,0,0.00256222542437559,0,0.00779573985667136,0,0.22439211280535,0,0,0,0,0,0,0.057739039187805,0.148839260928146,0.0186765888115634,0,0.0848087842201075,0.0430052462074376,0.00183060022722051,0,0,0,0.00245911577293524,0.048965673674043,0,0,0,0,0.0385836964784146,0,0,0,0,0,0,0.0171331318529942,0,0,0,0,0,0.0981031489092117,0.0893436171718606,0.026773364495643,0,0,0,0
"34",0,0,-0.0157498740679147,0.0168873465110462,0,0,0,0,0.00428037326560397,0.388911855630914,0,0.058592060271496,0,0,0.146875610213924,0,0.0339026623002742,0,0,0,0.057739039187805,0,0.0428344861266461,0.0344395794022617,0,0,0,0.01420643329123,0,0,0,0.0658289862193796,0,0,0,0,0,0,0,0,0,0.0500050202077697,0,0,0.00962772410527795,0,0,0,0,0.00302353834753292,0,0,0.0662753460292645,0,0,0.00142384812413518,0.0362278699227209
"35",0,0.250156068844053,0,0.0317529679330299,0,0,0,0,0,0,0,0,0.0244559334976074,0.0364959123955804,0,0,0,0,0,0,0.148839260928146,0.0428344861266461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417366436107308,0,0.0221201423743672,0,0,0,0,0.00497766436113725,0,0,0.106181280978425,0,0,0.121669351265577,0,0,0.0542261057848475,0,0,0,0,0
"29_36_52_63",0.0667314628609331,0,0,0,0,0,0.0319594196845824,0,0.276962610907452,0,0.0460046594871288,0,0,0,0,0,0,0,0,0,0.0186765888115634,0.0344395794022617,0,0,0,0,0.0385690466589339,0,0,0,0,0,0.0031558744142014,0,0,0,0.0791303213461023,0,0.0304079444549433,0,0,0,0,0,0,0,0.0369646167967886,0,0,0.22308888538263,0.0119623742409345,0,0,0,0,0,0
"37",0.0343748241768865,0,0,0,0,0.0279272495455845,0.0432863154089001,0.0614253980375275,0,0.0072930323379381,0,0,0,0.157692640794792,0,0,0.0412395618315631,0,0.0365486919077109,0.00570148081067441,0,0,0,0,0,0,0.161375603781715,0.0857204069004484,0,0.166533799325515,0,0,0,0,0,0,0.0659636893421072,0,0,0,0,0.0645416481149988,0,0,0,0,0,0,0,0,0,0.00383713111077943,0,0,0,0,0.0504791959909593
"40",0,0,0.0343248479176688,0,0,0,0,0,0,0,0,0,0,0,0.139939339576537,0,0,0,0,0,0.0848087842201075,0,0,0,0,0,0.022905850475492,0,0,0,0.0404563388602226,0,0,0.0184116938942959,0.228865701698218,0,0,0,0.0643769320324627,0,0,0,0,0.0305355151849743,0,0.00347201975594033,0,0,0,0,0,0.0325347936763338,0,0,0,0,0
"41",0.0744870077128949,0,0,0,0.0314897339556809,0.217136831934567,0,0.0832511021682865,0,0,0,0,0,0,0,0,0.219208788391101,0,0,0.00623039863705907,0.0430052462074376,0,0,0.0385690466589339,0.161375603781715,0.022905850475492,0,0.0598195035411757,0,0.0417191931558531,0.0180258405546816,0,0.093110916104169,0,0,0,0.0117065875474701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333664762777552,0,0,0,0,0.0168502336984958
"42",0,0,0,0,0,0.0111132642589575,0,0,0,0,0,0,0,0.165378435888385,0,0.0261931326313452,0.00691470008893612,0,0.0322433053130136,0,0.00183060022722051,0.01420643329123,0,0,0.0857204069004484,0,0.0598195035411757,0,0,0.0158339544381065,0.00791872466064979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105640514484353,0,0.0329918189813196,0,0.0237401969609343,0,0,0,0.00440170752758357,0.0503813702685661,0.0631883812854146
"47",0.166491494236551,0,0,0,0,0,0.030548420702921,0.00641100487176888,0,0.012523300494515,0.128725244650827,0,0,0,0,0,0,0,0.0341139893841881,0.0348123751309173,0,0,0,0,0,0,0,0,0,0,0.172748662055246,0,0,0,0,0.00104528117041036,0,0,0,0,0,0,0.00074820251521129,0.0618058592555181,0,0.0282339199560821,0.047982106062689,0,0,0.0127820095174068,0,0,0,0.024375939423193,0,0.0350990543224955,0
"50",0.017596306388137,0,-0.0189460116294985,0.0153952728077659,0,0.16967030893699,0,0,0,0,0,0.0399035545847241,0,0,0,0,0.0443846119642251,0,0.0212322144655035,0,0,0,0,0,0.166533799325515,0,0.0417191931558531,0.0158339544381065,0,0,0,0,0.0724046864085221,0,0,0,0,0.0307407598398443,0,0,0,0.0437260670253154,0,0,0,0,0.00384219269237926,0,0,0,0,0,0,0,0.127893064206566,0.0479050449318531,0.0455079233906535
"53",0,0,0.0930908635719772,0,0.0863419232489748,0,0.143590949763994,0.0323363545457858,0,0,0.0236830107708387,0,0,0,0,0,0.0642823688190589,0,0,0.0220640867172997,0,0,0,0,0,0.0404563388602226,0.0180258405546816,0.00791872466064979,0.172748662055246,0,0,0,0,0.0052547737109971,0.111157710741499,0.114786801718084,0,0,0.0512920201623075,-0.0781935248116816,0.127352789012622,-0.0521931994026811,0.0443991862053201,0,0,0,0.0325683014052269,0,0.000649520796871866,0,0,0,0,0,0,0,0
"54",0,0,0,0.0178832869871976,0,0,0,0,0,0.105721852280735,0,0.104256101038566,0.0913925462714895,0,0.0755849337106189,-0.0355777914602552,0,0.110157751965334,0,0,0.00245911577293524,0.0658289862193796,0,0,0,0,0,0,0,0,0,0,0,0.0250560812715395,0,0.0267686811157013,0.0311018217715667,0,0.0275019896369844,0,0,0,0.180291090013342,0,0,0,0,0,0,0.127651887502495,0,0,0.125875463947968,0.0900076699759808,0.0527825014424933,0,0
"56",0,0,0,0.0697565173407663,0,0.04052796452697,0,0,0,0,0,0,0.235374626715311,0,0.0166073898313615,0,0.0594257163517434,0,0,0,0.048965673674043,0,0,0.0031558744142014,0,0,0.093110916104169,0,0,0.0724046864085221,0,0,0,0,0,0,0.127542834220867,0,0,0,0,0,0,0,0.0124794634052231,0,0,0,0,0,0.0952354150359386,0.046897120976138,0.155012548196255,0,0,0,0.0440279604276244
"61",0,0,0.337061792885047,0,0,0,0.0145671355086764,0,0.0414046964030321,0,0,0,0,0,0,-0.0179190784070604,0,0,0,0,0,0,0,0,0,0.0184116938942959,0,0,0,0,0.0052547737109971,0.0250560812715395,0,0,0.147720931025022,0.0323826468585341,0,0,0.0313032469881885,-0.0632277108697157,0,0,0.010746757039476,0.0332388517680711,0.059021265848676,0,0,0,0,0,0,0.0378850997622643,0,0,0.0113271955728729,0,-0.0179605776565999
"64",0,0,0.331630706483036,0,0,0,0.201827172497244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228865701698218,0,0,0,0,0.111157710741499,0,0,0.147720931025022,0,0,0.00854455668016134,0,0.0642973472155677,0,0,0,0,0,0,0,0,0,0,0,0,0.024393046316045,0,0,0,0,0
"65",0,0,0,0.00725908279963774,0,0,0,0,0,0,0,0.177643175642072,0.0815329954474484,0,0,0,0,0,0,0,0,0,0.0417366436107308,0,0,0,0,0,0.00104528117041036,0,0.114786801718084,0.0267686811157013,0,0.0323826468585341,0,0,0.0923636673180474,0,0,-0.0836643445334481,0,0,0.0908482443491782,0,0.0444305134495709,0.0161545695453784,0,0.072796006364977,0.204789584868846,0,0.0191854487746947,0,0,0,0.0274363168902272,0,0
"66",0,0,0,0.048351673929235,0,0.0141681210951536,0.000399427163895537,0,0.052740110227736,0,0.018441887728888,0,0,0,0,0,0.0108316856011481,0,0,0,0,0,0,0.0791303213461023,0.0659636893421072,0,0.0117065875474701,0,0,0,0,0.0311018217715667,0.127542834220867,0,0.00854455668016134,0.0923636673180474,0,0.0392135673892278,0.206980194808058,0,0,0,0,0,0,0,0.161738988806362,0,0,0,0.0551111030193589,0,0,0.0260647376186147,0,0,0
"67",0,0.0152778902146596,0,0.0595701795332968,0,0,0,0,0,-0.0493844754476614,0,0,0.0855520660188684,0.00798822463247227,0,0,0.0678337365307834,0,0,0,0.0385836964784146,0,0.0221201423743672,0,0,0,0,0,0,0.0307407598398443,0,0,0,0,0,0,0.0392135673892278,0,0,0,0,0,0,0,0,0,0,0.155130215150014,0.127779722738017,0,0.0107961905527016,0.0735492800110477,0,0,0,0.188404826571249,0.146819209142226
"68_86",0,0,0.0358154535995344,0,0,0,0.132638584161887,0,0,0,0.0474932954970927,0,0,0,0,0,0.0187496716656003,0,0,0.0622155959172253,0,0,0,0.0304079444549433,0,0.0643769320324627,0,0,0,0,0.0512920201623075,0.0275019896369844,0,0.0313032469881885,0.0642973472155677,0,0.206980194808058,0,0,0,0,0,0.0448296229775408,0,0,0.0114042412345234,0.0700305032027013,0,0,0,0.0203646587514311,0.0205959129047588,0,0,0,0,0
"71",0,0,-0.0206667439765767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0751173522074478,0,0,0,0,0,0,0,0,0,0,0,-0.0781935248116816,0,0,-0.0632277108697157,0,-0.0836643445334481,0,0,0,0,-0.190665798621236,0.131137233027734,-0.0491268884303541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72_81",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127352789012622,0,0,0,0,0,0,0,0,-0.190665798621236,0,0,0.0478806822778516,0,0,0,0,0.033454690213893,0,0,0,0,0,0.0576946118830883,0,0.021044162589483,0
"23_69_73",0,0,-0.0113244343689353,0,0,0,0,0,0,0.0989754213724652,0,0,0,0,0,0.0302286342559072,0,0.15451080624082,0.0737178688092125,0,0,0.0500050202077697,0,0,0.0645416481149988,0,0,0,0,0.0437260670253154,-0.0521931994026811,0,0,0,0,0,0,0,0,0.131137233027734,0,0,0,0,0.0149137777763857,0,0,0,0,0,0,0,0.200444579109789,0,0,0.0534539622843142,0.00582672317107563
"74",0,0,0,0,0,0,0,0,0.000661493832655267,0,0,0,0,0,0.0199675827888235,0,0,0,0,0,0,0,0.00497766436113725,0,0,0,0,0,0.00074820251521129,0,0.0443991862053201,0.180291090013342,0,0.010746757039476,0,0.0908482443491782,0,0,0.0448296229775408,-0.0491268884303541,0.0478806822778516,0,0,0.267218645276309,0,0,0,0,0,0.0279068141971317,0,0.0515337094939911,0,0,0,0,0
"75",0,0.0183482785698285,0,0.0469927305681825,0,0,0,0,0,0,0.0101882233686052,0,0,0,0.0253128367553214,-0.0569541129638945,0.0377567170170484,0,0,0.0243067727093053,0,0,0,0,0,0.0305355151849743,0,0,0.0618058592555181,0,0,0,0,0.0332388517680711,0,0,0,0,0,0,0,0,0.267218645276309,0,0,0.0816292608333096,0.081687350630789,0,0,0,0,0,0,0.0784790897815803,0,0,0
"76",0.0354455916012055,0,0,0,0,0,0.00340148957448572,0,0.0514983722441251,0.0704000411468314,0.0204430232381317,0.0779095039114306,0,0.0805220357061974,0,0,0.016445338152013,0.0522420763927371,0,0,0.0171331318529942,0.00962772410527795,0,0,0,0,0,0,0,0,0,0,0.0124794634052231,0.059021265848676,0,0.0444305134495709,0,0,0,0,0,0.0149137777763857,0,0,0,0,0,0.00259371863414057,0.0450380873451855,0,0,0,0,0,0,0,0.0589546931337843
"77",0,0,0,0.1040943242415,0,0.0470175748919648,0,0,0,0,0,0.0225732416382667,0,0.00618336224066052,0.0956915358596684,0,0,0,0,0,0,0,0.106181280978425,0,0,0.00347201975594033,0,0,0.0282339199560821,0,0,0,0,0,0,0.0161545695453784,0,0,0.0114042412345234,0,0,0,0,0.0816292608333096,0,0,0.0472811664125757,0,0,0,0.0232194541770683,0.121311025364093,0,0.0374133406085496,0.0166892571479679,0.174256309458221,0
"78",0.0128362241064269,0,0,0.0365907794608342,0,0,0.047763584442332,0.00722036283749039,0,0,0.0180799999782802,0,0,0,0,0,0.0183251296323096,0,0,0.0386710080186948,0,0,0,0.0369646167967886,0,0,0,0.0105640514484353,0.047982106062689,0.00384219269237926,0.0325683014052269,0,0,0,0,0,0.161738988806362,0,0.0700305032027013,0,0,0,0,0.081687350630789,0,0.0472811664125757,0,0,0,0,0.0106677438672272,0,0,0.230266007530979,0,0.0815516754473452,0
"70_79_83",0,0,0,0.0267035748914052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072796006364977,0,0.155130215150014,0,0,0.033454690213893,0,0,0,0.00259371863414057,0,0,0,0.0448796289666335,0,0.0657140802505425,0.2840363931666,0,0,0,0,0
"80",0,0,0,0,0,0,0,0,0,0,0,0.0204344109390107,0,0,0,0,0,0,0,0,0,0,0.121669351265577,0,0,0,0,0.0329918189813196,0,0,0.000649520796871866,0,0,0,0,0.204789584868846,0,0.127779722738017,0,0,0,0,0,0,0.0450380873451855,0,0,0.0448796289666335,0,0,0.0146181079024549,0,0,0,0.119543399517732,0,0.00864569022451259
"82",0,0,-0.00920677160103099,0,0,0,0,0,0,0,0,0,0,0,0.0348304486613625,-0.0369849740821125,0,0,0,0,0,0.00302353834753292,0,0.22308888538263,0,0,0,0,0.0127820095174068,0,0,0.127651887502495,0,0,0,0,0,0,0,0,0,0,0.0279068141971317,0,0,0,0,0,0,0,0,0,0,0.115505429357106,0.0518012875301748,0,0
"84",0,0,0,0.0265358769414673,0,0.0712555623113046,0,0,0,0,0,0,0.152234534082428,0.169515205378327,0.0981605997263307,0,0,0,0,0,0.0981031489092117,0,0,0.0119623742409345,0,0,0,0.0237401969609343,0,0,0,0,0.0952354150359386,0,0,0.0191854487746947,0.0551111030193589,0.0107961905527016,0.0203646587514311,0,0,0,0,0,0,0.0232194541770683,0.0106677438672272,0.0657140802505425,0.0146181079024549,0,0,0,0.0668087256253721,0,0,0,0.079771538632239
"85",0,0.0634648560024978,0,0.0465399756124224,0,0,0,0,0,0,0,0,0,0,0.0682454461789261,0,0,0,0,0.0202185404547975,0.0893436171718606,0,0.0542261057848475,0,0.00383713111077943,0.0325347936763338,0.0333664762777552,0,0,0,0,0,0.046897120976138,0.0378850997622643,0.024393046316045,0,0,0.0735492800110477,0.0205959129047588,0,0,0,0.0515337094939911,0,0,0.121311025364093,0,0.2840363931666,0,0,0,0,0.0176422868592051,0,0,0,0.0629585905295652
"87",0,0.00135426584436917,0,0,0,0.0376145513996012,0,0,0,0,0,0,0,0,0,0,0,0.140415862302112,0.0040723440887723,0,0.026773364495643,0.0662753460292645,0,0,0,0,0,0,0,0,0,0.125875463947968,0.155012548196255,0,0,0,0,0,0,0,0,0.200444579109789,0,0,0,0,0,0,0,0,0.0668087256253721,0.0176422868592051,0,0,0,0,0
"88",0,0,0,0,0,0,0,0,0.0485273440713301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024375939423193,0,0,0.0900076699759808,0,0,0,0,0.0260647376186147,0,0,0,0.0576946118830883,0,0,0.0784790897815803,0,0.0374133406085496,0.230266007530979,0,0,0.115505429357106,0,0,0,0,0,0.071373409676971,0
"89",0,0,0,0,0,0,0,0,0.129214392065395,0,0,0.0252430925063718,0.11056703058484,0,0,0,0.00790917545339756,0.126215571018149,0,0,0,0,0,0,0,0,0,0.00440170752758357,0,0.127893064206566,0,0.0527825014424933,0,0.0113271955728729,0,0.0274363168902272,0,0,0,0,0,0,0,0,0,0.0166892571479679,0,0,0.119543399517732,0.0518012875301748,0,0,0,0,0,0,0.0765070618468296
"90",0,0,0,0.0849691976683886,0,0,0,0,0,0,0,0,0.00681398535266024,0,0,0,0.030559224198368,0,0.114936682498211,0,0,0.00142384812413518,0,0,0,0,0,0.0503813702685661,0.0350990543224955,0.0479050449318531,0,0,0,0,0,0,0,0.188404826571249,0,0,0.021044162589483,0.0534539622843142,0,0,0,0.174256309458221,0.0815516754473452,0,0,0,0,0,0,0.071373409676971,0,0,0.0367329758005145
"91",0,0,0,0,0,0.00197417266944565,0,0,0,0,0,0,0.0547276275755778,0,0.0154839711341478,0,0.0132833649130898,0.11327955966571,0,0,0,0.0362278699227209,0,0,0.0504791959909593,0,0.0168502336984958,0.0631883812854146,0,0.0455079233906535,0,0,0.0440279604276244,-0.0179605776565999,0,0,0,0.146819209142226,0,0,0,0.00582672317107563,0,0,0.0589546931337843,0,0,0,0.00864569022451259,0,0.079771538632239,0.0629585905295652,0,0,0.0765070618468296,0.0367329758005145,0
